BeeID,bout_index,event_type,dt,Temperature,q10,metabolic_rate_uL_h,metabolic_rate_mL_h
unmarked38,258,buzz,1,23.5,0.9877774918486618,9760.047250787129,9.76004725078713
unmarked38,259,buzz,2,23.5,0.9877774918486618,9868.349940770393,9.868349940770393
unmarked38,260,buzz,2,23.5,0.9877774918486618,10119.377390772866,10.119377390772867
unmarked38,261,buzz,1,23.5,0.9877774918486618,10084.183668960291,10.084183668960291
unmarked38,262,buzz,2,23.5,0.9877774918486618,10332.674506363697,10.332674506363697
unmarked38,263,flight,1,23.5,0.9877774918486618,6756.884030770835,6.756884030770835
unmarked38,264,flight,1,23.5,0.9877774918486618,8657.565480586034,8.657565480586033
unmarked4,265,buzz,1,22.5,1.0586737026540554,16144.260296993814,16.144260296993814
unmarked4,266,buzz,1,22.5,1.0586737026540554,16051.359138769034,16.051359138769033
unmarked4,267,buzz,1,22.5,1.0586737026540554,15999.747525356208,15.999747525356208
unmarked4,268,buzz,1,22.5,1.0586737026540554,15999.747525356208,15.999747525356208
unmarked4,298,flight,2,22.5,1.0586737026540554,14375.464269505308,14.375464269505308
unmarked4,301,flight,2,22.5,1.0586737026540554,14145.97959394106,14.14597959394106
unmarked4,306,flight,2,22.5,1.0586737026540554,14848.225174693025,14.848225174693026
unmarked4,309,flight,2,22.5,1.0586737026540554,13717.924361869018,13.717924361869018
unmarked4,310,flight,1,22.5,1.0586737026540554,14341.621858987311,14.341621858987311
unmarked4,311,flight,2,22.5,1.0586737026540554,14635.40444667803,14.63540444667803
unmarked4,312,flight,4,22.5,1.0586737026540554,14280.471066176711,14.28047106617671
unmarked4,313,flight,2,22.5,1.0586737026540554,14530.168257674148,14.530168257674148
unmarked4,314,flight,2,22.5,1.0586737026540554,14615.920192384903,14.615920192384904
unmarked4,315,flight,1,22.5,1.0586737026540554,14582.967702981357,14.582967702981357
unmarked4,316,flight,2,22.5,1.0586737026540554,13674.2115129517,13.6742115129517
