laser_key,buzz.number,wav_file,cep.fund.frequency,start_laser,stop_laser,is_floral_buzz
_133455,76,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz76.wav,342.11,487.07,487.69,
_133455,77,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz77.wav,264.13,488.51,488.62,
_133455,79,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz79.wav,329.58,501.99,503.04,
_133455,80,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz80.wav,318.6,506.76,507.4,
_133455,81,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz81.wav,309.79,507.84,507.94,
_133455,85,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz85.wav,295.3,509.99,510.15,
_133455,86,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz86.wav,359.41,510.65,510.74,
_133455,87,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz87.wav,317.98,510.76,511.04,
_133455,89,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz89.wav,336.16,519.32,519.82,
_133455,90,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz90.wav,350.36,520.0,520.17,
_133455,92,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz92.wav,330.83,522.9,523.01,
_133455,98,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz98.wav,262.43,537.79,538.25,
_133455,99,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz99.wav,299.13,539.29,539.69,
_133455,101,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz101.wav,308.43,542.46,542.59,
_133455,116,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz116.wav,269.04,594.25,594.44,
_133455,118,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz118.wav,313.37,605.88,605.98,
_133455,130,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz130.wav,421.48,639.41,639.58,
_133455,133,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz133.wav,314.83,640.89,641.06,
_145836,105,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz105.wav,294.02,460.39,460.68,
_145836,106,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz106.wav,337.37,460.7,461.84,
_145836,108,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz108.wav,350.84,466.21,467.3,
_145836,111,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz111.wav,317.69,476.4,477.36,
_145836,112,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz112.wav,339.11,480.59,480.74,
_145836,114,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz114.wav,298.34,487.16,487.26,
_145836,115,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz115.wav,304.69,487.55,487.99,
_145836,117,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz117.wav,328.39,491.4,491.61,
_145836,118,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz118.wav,261.29,492.24,492.4,
_145836,122,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz122.wav,346.67,497.16,497.43,
_145836,125,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz125.wav,337.4,502.75,503.54,
_145836,127,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz127.wav,288.34,506.15,506.36,
_145836,134,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz134.wav,271.68,512.82,513.14,
_145836,136,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz136.wav,361.43,513.49,514.0,
_145836,137,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz137.wav,339.2,514.12,514.83,
_145836,141,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz141.wav,260.99,518.45,518.68,
_145836,151,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz151.wav,326.15,527.64,527.79,
_145836,156,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz156.wav,307.67,535.23,535.35,
_145836,158,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz158.wav,285.37,536.55,537.5,
_145836,164,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz164.wav,259.85,543.13,544.55,
_145836,171,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz171.wav,259.34,554.08,554.23,
_145836,172,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz172.wav,284.24,554.98,555.1,
_145836,181,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz181.wav,280.09,577.62,577.7,
_145836,192,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz192.wav,314.06,622.91,623.19,
_145836,205,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz205.wav,361.85,681.34,681.49,
_145836,209,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz209.wav,301.31,683.92,684.27,
_145836,218,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz218.wav,399.18,704.68,704.77,
_145836,232,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_145836\_145836_buzz232.wav,325.01,746.0,746.11,
_153402,15,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_153402\_153402_buzz15.wav,310.44,345.23,345.97,
