laser_key,buzz.number,wav_file,cep.fund.frequency,start_video,stop_video,is_floral_buzz,start_laser,stop_laser
_111333,108,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz108.wav,339.52,479.21637999999996,479.57638,yes,472.02,472.38
_111333,109,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz109.wav,299.6,479.79638,480.05638,yes,472.6,472.86
_111333,110,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz110.wav,323.65,480.07638,480.33637999999996,yes,472.88,473.14
_111333,111,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz111.wav,365.71,480.35638,480.46637999999996,yes,473.16,473.27
_111333,112,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz112.wav,262.36,483.44638,483.56638,no,476.25,476.37
_111333,114,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz114.wav,251.36,484.93638,485.41638,no,477.74,478.22
_111333,115,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz115.wav,374.81,486.11638,486.23638,no,478.92,479.04
_111333,116,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz116.wav,306.71,486.26637999999997,486.36638,no,479.07,479.17
_111333,119,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz119.wav,416.18,490.70637999999997,490.88638,no,483.51,483.69
_111333,121,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz121.wav,306.96,494.28637999999995,494.38638,yes,487.09,487.19
_111333,122,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz122.wav,336.47,494.65637999999996,494.85638,yes,487.46,487.66
_111333,123,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz123.wav,350.75,494.88638,495.03637999999995,yes,487.69,487.84
_111333,124,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz124.wav,274.76,495.10638,495.29638,yes,487.91,488.1
_111333,132,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz132.wav,313.23,504.60638,504.69638,no,497.41,497.5
_111333,134,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz134.wav,265.81,506.19638,506.79638,yes,499,499.6
_111333,137,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz137.wav,320.27,511.46637999999996,511.68638,yes,504.27,504.49
_111333,138,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz138.wav,270.51,512.58638,512.80638,yes,505.39,505.61
_111333,141,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz141.wav,281.25,515.81638,516.46638,yes,508.62,509.27
_111333,144,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz144.wav,256.88,519.20638,519.43638,no,512.01,512.24
_111333,145,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz145.wav,276.76,519.76638,520.14638,no,512.57,512.95
_111333,148,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz148.wav,325.69,520.70638,520.93638,no,513.51,513.74
_111333,151,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz151.wav,328.57,522.19638,522.78638,yes,515,515.59
_111333,154,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz154.wav,268.41,527.7363799999999,527.9963799999999,no,520.54,520.8
_111333,155,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz155.wav,320.5,529.01638,530.4863799999999,yes,521.82,523.29
_111333,158,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz158.wav,300.29,536.83638,537.35638,yes,529.64,530.16
_111333,159,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz159.wav,292.43,537.43638,537.54638,yes,530.24,530.35
_111333,164,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz164.wav,344.28,540.59638,540.68638,no,533.4,533.49
_111333,166,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz166.wav,309.97,541.2363799999999,541.51638,no,534.04,534.32
_111333,169,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz169.wav,257.92,545.59638,545.7363799999999,no,538.4,538.54
_111333,171,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz171.wav,287.15,550.14638,550.26638,yes,542.95,543.07
_111333,172,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz172.wav,351.94,550.59638,550.83638,yes,543.4,543.64
_111333,173,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz173.wav,320.87,551.20638,551.79638,yes,544.01,544.6
_111333,175,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz175.wav,351.16,554.34638,554.7463799999999,yes,547.15,547.55
_111333,182,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz182.wav,363.92,563.34638,563.51638,yes,556.15,556.32
_111333,183,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz183.wav,390.55,563.56638,563.68638,yes,556.37,556.49
_111333,186,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111333\_111333_buzz186.wav,273.15,569.35638,569.63638,no,562.16,562.44
